brand,type,series,model,price
yamaha,classic,c,c40,298000
yamaha,electric,pacifica,012,538012
yamaha,classic,c,c40,234797
yamaha,electric,pacifica,112v,1110833
yamaha,acustic,fs,null,620831
yamaha,classic,c,c70,329352
yamaha,electric,pacifica,012,642015
yamaha,acustic,f,f370,577862
yamaha,classic,c,c40,318044
yamaha,classic,c,c40,251265
yamaha,electric,pacifica,012,625965
yamaha,classic,c,c40,234797
yamaha,classic,c,c40,260000
yamaha,electric,pacifica,112v,1110833
yamaha,classic,c,c40,259855
yamaha,acustic,fg,fs800,589326
yamaha,classic,c,c40,244000
yamaha,acustic,f,f310,537017
yamaha,acustic,fx,fx310,606784
yamaha,classic,c,c80,559999
yamaha,acustic,apx,apx600,1128589
yamaha,electric,pacifica,012,535013
yamaha,electric,revstar,null,2316481
yamaha,acustic,fg,fgx800c,896060
yamaha,classic,c,c40,358044
yamaha,classic,c,c40,293496
yamaha,classic,c,c40,278000
yamaha,classic,c,c80,515179
yamaha,electric,pacifica,012,625965
yamaha,acustic,fg,fg830,153767
yamaha,classic,c,c70,329352
yamaha,acustic,f,f310,598900
yamaha,electric,pacifica,012,104327
yamaha,acustic,fx,fx370,990774
yamaha,electric,revstar,null,2316481
yamaha,electric,pacifica,012,100221
yamaha,acustic,fs,null,607321
yamaha,electric,pacifica,012,535013
yamaha,acustic,apx,apx600,1144193
yamaha,electric,revstar,professional,6108056
yamaha,acustic,fx,fx310,118322
yamaha,acustic,fg,fg800,593326
yamaha,electric,pacifica,012,991664
yamaha,acustic,fx,fx370,165129
yamaha,classic,c,c40,254300
yamaha,acustic,fx,fx370,781984
yamaha,acustic,apx,apx600,1000875
yamaha,classic,c,c40,234797
yamaha,acustic,fx,fx370,781984
yamaha,classic,c,c40,234800
yamaha,acustic,fx,fx370,914921
yamaha,acustic,fx,fx370,990774
yamaha,electric,pacifica,null,1134929
yamaha,acustic,f,f370,530126
yamaha,electric,pacifica,null,1371589
yamaha,classic,c,c40,333000
yamaha,electric,pacifica,null,2933109
yamaha,acustic,f,f370,753734
yamaha,electric,revstar,null,3474721
yamaha,electric,pacifica,012,1304705
yamaha,electric,revstar,element,1528366
yamaha,acustic,fx,fx370,781984
yamaha,electric,pacifica,012,1013891
yamaha,acustic,f,f370,703485
yamaha,acustic,fg,fs800,589326
yamaha,acustic,fg,fgx800c,991666
yamaha,classic,c,c40,270017
yamaha,classic,c,c40,318100
yamaha,acustic,fx,fx370,914921
yamaha,electric,revstar,null,2443887
yamaha,classic,c,c80,619990
yamaha,acustic,fx,fx310,640157
yamaha,classic,c,c80,465509
yamaha,electric,revstar,null,2721865
yamaha,classic,c,c40,469990
yamaha,electric,revstar,null,2895601
yamaha,acustic,fg,fsx800c,1207352
yamaha,acustic,apx,null,974642
yamaha,electric,pacifica,012,1013891
yamaha,acustic,fg,fs800,795776
yamaha,electric,pacifica,012,1132600
yamaha,acustic,f,f310,530126
yamaha,acustic,f,f310,571977
yamaha,electric,revstar,null,2721865
yamaha,acustic,f,f310,696320
yamaha,acustic,fg,fsx800c,1207352
yamaha,classic,c,c70,373468
yamaha,electric,pacifica,null,1362988
yamaha,electric,revstar,null,2934981
yamaha,acustic,fs,null,1971121
yamaha,electric,revstar,null,2721865
yamaha,classic,c,c40,333000
yamaha,electric,revstar,null,2443887
yamaha,acustic,f,f370,530126
yamaha,electric,pacifica,null,881673
yamaha,electric,pacifica,null,798048
yamaha,acustic,f,f310,447514
yamaha,electric,pacifica,null,1362990
yamaha,acustic,fg,fsx800c,1207352
yamaha,acustic,fg,null,1769815
yamaha,electric,pacifica,012,611199
yamaha,acustic,f,f310,671272
yamaha,acustic,fx,fx370,918831
yamaha,electric,revstar,null,2934981
yamaha,acustic,apx,apx600,1052204
yamaha,electric,pacifica,112v,991664
yamaha,electric,pacifica,null,964342
yamaha,electric,revstar,null,2316481
yamaha,acustic,apx,apx700ii,1904603
yamaha,electric,pacifica,012,547407
yamaha,acustic,apx,null,946720
yamaha,acustic,fs,null,713602
yamaha,electric,revstar,null,2443887
yamaha,acustic,f,f310,636654
yamaha,acustic,fg,null,2125455
yamaha,electric,pacifica,112v,818588
yamaha,acustic,f,f370,577862
yamaha,acustic,f,f310,511236
yamaha,acustic,f,f370,502489
yamaha,acustic,f,f370,628111
yamaha,acustic,f,f370,703485
yamaha,electric,pacifica,012,1132600
yamaha,acustic,f,f370,753734
yamaha,electric,pacifica,null,849652
yamaha,acustic,cpx,null,1124069
yamaha,acustic,f,f310,559393
yamaha,electric,revstar,professional,7335457
yamaha,acustic,f,f310,500372
yamaha,electric,pacifica,null,1264018
yamaha,electric,revstar,element,1835488
yamaha,acustic,apx,apx600,902498
yamaha,electric,revstar,null,3243073
yamaha,electric,revstar,professional,6802811
yamaha,acustic,fs,null,750919
yamaha,acustic,apx,apx700ii,1511552
yamaha,electric,revstar,null,2663953
yamaha,acustic,cpx,null,1124060
yamaha,acustic,fs,null,640723
yamaha,acustic,f,f310,590425
yamaha,electric,pacifica,012,662007
yamaha,acustic,fg,null,1971121
yamaha,electric,revstar,null,2721865
yamaha,electric,revstar,null,2895601
yamaha,acustic,apx,apx700ii,1558142
yamaha,electric,pacifica,null,1264020
yamaha,electric,revstar,element,1528366
yamaha,acustic,f,f310,621714
yamaha,acustic,fs,null,625859
yamaha,acustic,f,f370,502489
yamaha,acustic,fs,null,2125455
yamaha,electric,revstar,element,1835488
yamaha,acustic,f,f370,590425
yamaha,electric,pacifica,null,1371589
yamaha,acustic,f,f370,628111
yamaha,electric,pacifica,null,1047589
yamaha,acustic,fs,fsx800c,1320760
yamaha,electric,pacifica,null,1371589
yamaha,acustic,f,f310,525830
yamaha,acustic,fx,fx370,824993
yamaha,electric,revstar,element,1702209
yamaha,acustic,apx,null,1904603
yamaha,acustic,f,f370,590425
yamaha,electric,revstar,null,2316481
yamaha,acustic,apx,apx600,868967
yamaha,acustic,apx,apx600,863151
yamaha,electric,revstar,element,1702209
yamaha,acustic,fs,null,750919
yamaha,acustic,f,f310,447514
yamaha,electric,pacifica,012,535013
yamaha,acustic,fx,fx310,768795
yamaha,acustic,f,f370,590425
yamaha,acustic,apx,null,1200016
yamaha,acustic,f,f370,530126
yamaha,acustic,fs,null,640723
yamaha,acustic,f,f310,626520
yamaha,electric,pacifica,null,701119
yamaha,acustic,f,f310,746057
yamaha,acustic,apx,apx600,1144193
yamaha,acustic,apx,null,1511590
yamaha,acustic,fs,null,713602
yamaha,electric,pacifica,null,1030768
yamaha,acustic,f,f370,502489
yamaha,acustic,fx,fx370,824993
yamaha,acustic,fx,fx370,990774
yamaha,acustic,fg,fg800,799165
yamaha,acustic,apx,apx600,1052204
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,apx,apx600,1248590
yamaha,acustic,fx,fx310,606784
yamaha,acustic,fx,fx370,781984
yamaha,acustic,apx,apx700ii,2445109
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,apx,apx600,855449
yamaha,acustic,f,f310,497371
yamaha,acustic,f,f310,447514
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,f,f310,595990
yamaha,acustic,cpx,null,1432476
yamaha,acustic,apx,apx600,1128589
yamaha,acustic,f,f310,664189
yamaha,acustic,apx,apx600,1248590
yamaha,acustic,apx,apx700,1878752
yamaha,acustic,cpx,null,1779829
yamaha,acustic,fx,fx370,789984
yamaha,acustic,fs,null,607321
yamaha,acustic,fx,fx370,1117789
yamaha,acustic,fs,null,640723
yamaha,electric,pacifica,null,991664
yamaha,classic,c,c40,325000
yamaha,acustic,f,f370,502489
yamaha,acustic,f,f310,447514
yamaha,acustic,fx,fx370,781983
yamaha,acustic,f,f310,502839
yamaha,acustic,apx,apx600,1005152
yamaha,acustic,fx,null,781984
yamaha,acustic,f,f310,455802
yamaha,acustic,f,f310,447514
yamaha,acustic,fs,null,1737776
yamaha,electric,pacifica,null,1120720
yamaha,acustic,apx,apx700ii,1738285
yamaha,acustic,f,f310,447514
yamaha,acustic,fg,null,1372789
yamaha,acustic,fx,null,1056740
yamaha,acustic,fg,null,1372789
yamaha,acustic,fg,null,2594990
yamaha,electric,pacifica,null,656806
yamaha,acustic,fs,null,2227166
yamaha,acustic,cpx,null,1485420
yamaha,acustic,apx,apx600,1144193
yamaha,acustic,c,c80,1207352
yamaha,electric,pacifica,012,1796446
yamaha,electric,pacifica,null,2993000
yamaha,electric,pacifica,null,1032475
yamaha,acustic,apx,null,711488
yamaha,electric,revstar,null,3397304
yamaha,acustic,fg,fg800,868718
yamaha,acustic,f,f370,506524
yamaha,acustic,apx,apx700,2016116
yamaha,electric,pacifica,null,775200
yamaha,acustic,apx,apx600,1153220
yamaha,acustic,fg,null,1677549
yamaha,acustic,fs,null,1188920
yamaha,electric,revstar,null,2320600
yamaha,acustic,apx,apx600,855449
yamaha,electric,pacifica,012,538012
yamaha,acustic,fx,null,816200
yamaha,classic,c,c70,449676
yamaha,acustic,fx,null,1414219
yamaha,acustic,f,f370,789699
yamaha,electric,pacifica,012,726873
yamaha,acustic,fx,null,785984
yamaha,acustic,cpx,null,1436479
yamaha,acustic,fs,null,819668
yamaha,acustic,fg,null,1195601
yamaha,acustic,apx,apx600,855449
yamaha,electric,pacifica,null,1036861
yamaha,electric,revstar,null,2320600
yamaha,electric,revstar,null,3578090
yamaha,acustic,f,f310,819963
yamaha,acustic,fg,null,896060
yamaha,acustic,fg,fg830,1383911
yamaha,acustic,fg,null,931180
yamaha,acustic,cpx,null,958131
yamaha,acustic,apx,apx700ii,1879422
yamaha,acustic,fs,null,1306800
yamaha,electric,revstar,null,2240934
yamaha,acustic,apx,apx700,1511552
yamaha,acustic,fg,null,1245137
yamaha,electric,pacifica,null,901994
yamaha,electric,revstar,null,1340900
yamaha,electric,pacifica,112v,1304705
yamaha,electric,pacifica,null,774776
yamaha,acustic,fs,fs800,795776
yamaha,electric,revstar,element,2240934
yamaha,electric,pacifica,112v,1171459
yamaha,electric,revstar,null,1448690
yamaha,classic,c,c80,465509
yamaha,electric,pacifica,null,1259324
yamaha,acustic,apx,apx700ii,2245336
yamaha,electric,pacifica,null,1134927
yamaha,electric,pacifica,null,4057900
yamaha,electric,pacifica,null,688673
yamaha,acustic,fs,null,1677549
yamaha,electric,revstar,null,2721865
yamaha,acustic,f,f370,789699
yamaha,acustic,apx,apx700,1419475
yamaha,acustic,cpx,null,2220135
yamaha,acustic,fg,null,2227166
yamaha,acustic,apx,apx700ii,1879422
yamaha,acustic,fs,null,894000
yamaha,acustic,f,f310,610195
yamaha,acustic,apx,apx700ii,1415471
yamaha,classic,c,c80,465509
yamaha,classic,c,c70,329352
yamaha,acustic,fs,null,607321
yamaha,electric,revstar,null,2242309
yamaha,electric,revstar,null,3578090
